ut;addr_no;country;code;city;organisation;pubs
WOS:000309064600058;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000309064600058;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000310349100072;9;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000310566900048;2;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000310566900048;7;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000310566900048;7;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000311031700061;1;England;GB;Keele;Keele University;132
WOS:000311031700061;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000311031700061;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000311414800061;3;England;GB;Keele;Keele University;132
WOS:000311901200048;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000311901200048;4;England;GB;Keele;Keele University;132
WOS:000312108900010;2;Japan;JP;Kiso;University of Tokyo;142
WOS:000312108900010;3;Japan;JP;Tokyo;University of Tokyo;142
WOS:000313147700013;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000313745000086;2;England;GB;Keele;Keele University;132
WOS:000314102800007;1;England;GB;Keele;Keele University;132
WOS:000314102800007;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000314102800007;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000314102800007;5;England;GB;Coventry;University of Warwick;144
WOS:000314879700093;4;USA;US;Columbus;Ohio State University;107
WOS:000315187800006;1;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000315187800006;1;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000315187800006;5;Japan;JP;Nagoya;Nagoya University;116
WOS:000316247300019;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000316247300019;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000316247300019;5;Japan;JP;Tokyo;University of Tokyo;142
WOS:000316460600067;5;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000316460600067;13;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600067;23;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600067;24;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600067;25;France;FR;Meudon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600067;40;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600073;1;England;GB;Coventry;University of Warwick;144
WOS:000316460600073;3;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600073;4;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000316460600073;5;England;GB;Keele;Keele University;132
WOS:000316460600073;8;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600073;9;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316460600073;10;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000316460600080;1;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000316460600080;2;England;GB;Keele;Keele University;132
WOS:000316460600080;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000316460600080;5;England;GB;Coventry;University of Warwick;144
WOS:000316947500010;2;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000316947500010;2;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000316947500010;6;USA;US;Cambridge;Harvard University;103
WOS:000316947500010;6;USA;US;Cambridge;Smithsonian Institution;132
WOS:000316947500010;10;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000316947500010;11;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000316947500010;14;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
